dateDay,dayTemp_c,dayPress_mm,dayWind_ms,dayHumi_perc,nightTemp_c,nightPress_mm,nightWind_ms,nightHumi_perc
"01.06.2017,четверг",15,735,2,53,14,732,1,92
"02.06.2017,пятница",9,737,2,57,8,737,1,70
"03.06.2017,суббота",9,742,2,56,3,738,2,85
"04.06.2017,воскресенье",13,746,1,36,6,744,1,73
"05.06.2017,понедельник",13,747,1,67,6,748,,91
"06.06.2017,вторник",14,748,2,66,12,744,1,93
"07.06.2017,среда",20,749,3,39,8,750,,95
"08.06.2017,четверг",23,746,2,34,8,750,2,95
"09.06.2017,пятница",20,750,1,30,11,749,,72
"10.06.2017,суббота",21,748,1,38,12,749,,74
"11.06.2017,воскресенье",21,746,1,40,12,747,,79
"12.06.2017,понедельник",22,741,1,39,12,743,,87
"13.06.2017,вторник",15,731,1,93,16,738,,87
"14.06.2017,среда",17,731,1,63,12,731,1,86
"15.06.2017,четверг",10,738,2,87,8,735,1,92
"16.06.2017,пятница",15,741,2,68,11,741,2,83
"17.06.2017,суббота",20,743,2,50,10,742,,97
"18.06.2017,воскресенье",24,744,2,28,13,744,,85
"19.06.2017,понедельник",20,740,1,71,15,743,,73
"20.06.2017,вторник",22,740,2,35,12,740,,92
"21.06.2017,среда",15,736,2,61,15,734,1,93
"22.06.2017,четверг",15,739,2,57,10,737,1,78
"23.06.2017,пятница",15,740,1,56,8,740,1,91
"24.06.2017,суббота",18,741,2,41,9,740,,90
"25.06.2017,воскресенье",18,741,1,72,8,741,,93
"26.06.2017,понедельник",22,740,1,55,16,740,1,87
"27.06.2017,вторник",20,742,1,42,14,739,1,81
"28.06.2017,среда",22,746,1,35,10,744,,93
"29.06.2017,четверг",24,747,1,34,10,747,,87
"30.06.2017,пятница",26,742,3,53,17,746,,64
"01.07.2017,суббота",24,738,2,52,15,738,,97
"02.07.2017,воскресенье",18,736,1,74,15,737,2,97
"03.07.2017,понедельник",16,738,1,85,14,737,,96
"04.07.2017,вторник",19,742,1,68,11,741,,96
"05.07.2017,среда",20,739,1,42,11,741,,96
"06.07.2017,четверг",19,742,2,45,14,741,1,82
"07.07.2017,пятница",15,742,1,57,11,743,1,72
"08.07.2017,суббота",12,739,1,92,10,741,1,92
"09.07.2017,воскресенье",16,741,1,73,11,740,1,94
"10.07.2017,понедельник",18,744,2,60,13,742,1,86
"11.07.2017,вторник",24,749,1,44,12,747,,92
"12.07.2017,среда",24,746,3,48,15,748,,87
"13.07.2017,четверг",21,742,1,83,17,744,1,94
"14.07.2017,пятница",21,741,2,76,18,741,1,86
"15.07.2017,суббота",24,746,1,61,17,743,,97
"16.07.2017,воскресенье",25,746,2,57,18,745,,94
"17.07.2017,понедельник",18,749,1,66,15,748,1,85
"18.07.2017,вторник",22,748,1,52,13,749,,94
"19.07.2017,среда",20,749,1,53,12,748,,85
"20.07.2017,четверг",21,748,1,41,12,749,,91
"21.07.2017,пятница",22,746,1,57,13,746,,92
"22.07.2017,суббота",19,748,1,52,11,748,,94
"23.07.2017,воскресенье",22,746,3,38,12,746,,94
"24.07.2017,понедельник",23,745,1,38,11,746,,90
"25.07.2017,вторник",25,744,1,43,14,745,,87
"26.07.2017,среда",27,743,1,41,14,744,,94
"27.07.2017,четверг",28,741,1,45,21,741,1,60
"28.07.2017,пятница",25,744,1,56,15,744,,89
"29.07.2017,суббота",32,741,2,41,19,743,,90
"30.07.2017,воскресенье",26,740,1,55,22,740,1,81
"31.07.2017,понедельник",24,745,2,53,18,741,2,90
"01.08.2017,вторник",26,749,1,60,16,748,,92
"02.08.2017,среда",27,751,1,44,16,752,,90
"03.08.2017,четверг",24,746,2,61,20,746,,91
"04.08.2017,пятница",22,744,1,56,15,746,,92
"05.08.2017,суббота",23,742,2,51,18,740,,96
"06.08.2017,воскресенье",24,748,1,40,16,744,,83
"07.08.2017,понедельник",24,749,1,44,18,748,,73
"08.08.2017,вторник",22,752,1,53,14,751,,81
"09.08.2017,среда",22,757,3,44,14,756,,91
"10.08.2017,четверг",25,754,1,41,12,757,,94
"11.08.2017,пятница",20,748,,89,18,751,,79
"12.08.2017,суббота",28,749,1,40,16,749,,97
"13.08.2017,воскресенье",28,749,1,40,14,749,,96
"14.08.2017,понедельник",25,749,1,61,19,747,3,92
"15.08.2017,вторник",23,755,3,40,17,752,1,89
"16.08.2017,среда",24,757,1,40,12,757,,89
"17.08.2017,четверг",25,756,1,43,14,756,,92
"18.08.2017,пятница",27,754,1,45,18,755,,72
"19.08.2017,суббота",31,752,1,34,18,753,,72
"20.08.2017,воскресенье",31,753,1,26,18,753,,89
"21.08.2017,понедельник",29,750,2,32,17,752,,93
"22.08.2017,вторник",30,747,3,32,20,749,1,70
"23.08.2017,среда",24,740,2,58,21,743,1,65
"24.08.2017,четверг",19,742,1,53,16,739,1,93
"25.08.2017,пятница",18,745,1,69,13,742,1,78
"26.08.2017,суббота",19,744,1,56,11,747,,87
"27.08.2017,воскресенье",18,745,2,50,10,746,,94
"28.08.2017,понедельник",11,743,1,92,11,745,,94
"29.08.2017,вторник",13,747,3,75,11,744,2,90
"30.08.2017,среда",14,752,2,61,11,750,1,86
"31.08.2017,четверг",18,752,1,49,7,753,,95
